action,proto,src_ip,src_port,dest_ip,dest_port,family,behavior,description,sign_source,author,threat_judge,attack_phase,apt_org,extract_date,attack_direction,remarks,cve_number,threat_level,threat_type,id,refer,payload,classtype,sid,rev,metadata
alert,tcp,any,any,any,443,Kuluoz,['VulnerabilityIntrusion'],Kuluoz,ArtificialExtraction,bala,Threat,Control,,20180703,{'Obj': 'Victim'; 'Source': 'Attacker'},,,HighRisk,['RAT'],40017481,[],flow:to_server;established; content:" HTTP/1.1|0D 0A|Accept: */*|0D 0A|Content-Type: application/x-www-form-urlencoded|0D 0A|User-Agent: Mozilla/5.0 (Windows NT 6.1|3B| WOW64|3B| rv:25.0) Gecko/20100101 Firefox/25.0|0D 0A|Host: "; fast_pattern:only; content:"POST /"; depth:6; content:" HTTP/1.1"; within:9; distance:42; pcre:"/^POST\x20\x2f[A-F\d]{42}\x20HTTP/"; ),classtype:RAT;,id:40017481;,rev:5;,metadata:impact_flag red; policy balanced-ips drop; policy security-ips drop; ruleset community; service http;
alert,tcp,any,80,any,any,Napolar,['VulnerabilityIntrusion'],Napolar,ArtificialExtraction,bala,Threat,Control,,20180703,{'Obj': 'Attacker'; 'Source': 'Victim'},,,HighRisk,['RAT'],40017483,[],flow:to_client;established; content:"facebook.com.exe"; fast_pattern:only; ),classtype:RAT;,id:40017483;,rev:2;,metadata:policy balanced-ips drop; policy security-ips drop; ruleset community; service http;
alert,tcp,any,80,any,any,Pony,['VulnerabilityIntrusion'],Pony,ArtificialExtraction,bala,Threat,Control,,20180703,{'Obj': 'Attacker'; 'Source': 'Victim'},,,HighRisk,['RAT'],40017485,[],flow:to_client;established; content:"Content-Length: 16"; http_header; file_data; content:"STATUS-IMPORT-OK"; fast_pattern:only; ),classtype:RAT;,id:40017485;,rev:2;,metadata:policy balanced-ips drop; policy security-ips drop; ruleset community; service http;
alert,tcp,any,any,any,80,Zeus,['VulnerabilityIntrusion'],Zeus,ArtificialExtraction,bala,Threat,Control,,20180703,{'Obj': 'Victim'; 'Source': 'Attacker'},,,HighRisk,['RAT'],40017487,[],flow:to_server;established; content:"POST"; http_method; content:"/gate.php"; fast_pattern:only; http_uri; content:"|3B 20|MSIE|20|"; http_header; content:!"Accept-Language:"; http_header; content:!"Referer:"; http_header; content:!"Accept-Encoding:"; http_header; ),classtype:RAT;,id:40017487;,rev:1;,metadata:impact_flag red; policy balanced-ips drop; policy security-ips drop; ruleset community; service http;
alert,tcp,any,any,any,any,Upatre,['VulnerabilityIntrusion'],Upatre,ArtificialExtraction,bala,Threat,Control,,20180703,{'Obj': 'Attacker'; 'Source': 'Victim'},,,HighRisk,['RAT'],40017489,[],flow:to_server;established; content:"User-Agent|3A| Updates downloader|0D 0A|"; fast_pattern:only; http_header; ),classtype:RAT;,id:40017489;,rev:4;,metadata:impact_flag red; policy balanced-ips drop; policy security-ips drop; ruleset community; service http;
alert,tcp,any,any,any,80,Unknown,['VulnerabilityIntrusion'],Exploits,ArtificialExtraction,bala,Threat,Control,,20180703,{'Obj': 'Victim'; 'Source': 'Attacker'},,,HighRisk,['Exploits'],130017493,[],flow:to_server;established; urilen:12; content:"/prl/el.html"; fast_pattern:only; http_uri; content:"Accept: text/html; */*|0D 0A|User-Agent: Mozilla/3.0 (compatible|3B| Indy Library)|0D 0A 0D 0A|"; ),classtype:Exploits;,id:130017493;,rev:3;,metadata:impact_flag red; policy balanced-ips drop; policy security-ips drop; ruleset community; service http;
alert,tcp,any,any,any,80,Unknown,['VulnerabilityIntrusion'],Exploits,ArtificialExtraction,bala,Threat,Control,,20180703,{'Obj': 'Victim'; 'Source': 'Attacker'},,,HighRisk,['Exploits'],130017495,[],flow:to_server;established; content:"/ie-error.gif?action=utility"; fast_pattern:only; http_uri; content:"&os="; http_uri; content:"&error="; distance:0; http_uri; content:"&rnd="; distance:0; http_uri; ),classtype:Exploits;,id:130017495;,rev:1;,metadata:impact_flag red; policy balanced-ips drop; policy security-ips drop; ruleset community; service http;
alert,tcp,any,any,any,80,iBanking,['VulnerabilityIntrusion'],iBanking,ArtificialExtraction,bala,Threat,Control,,20180703,{'Obj': 'Victim'; 'Source': 'Attacker'},,,HighRisk,['RAT'],40017499,[],flow:to_server;established; urilen:21; content:"/android/sms/sync.php"; fast_pattern:only; http_uri; content:"User-Agent|3A 20|Apache-HttpClient|2F|"; http_header; content:"bot_id="; http_client_body; content:"&imei="; distance:0; http_client_body; content:"&iscallhack="; distance:0; http_client_body; content:"&issmshack="; distance:0; http_client_body; content:"&isrecordhack="; distance:0; http_client_body; content:"&isadmin="; distance:0; http_client_body; content:"&control_number="; distance:0; http_client_body; ),classtype:RAT;,id:40017499;,rev:1;,metadata:impact_flag red; policy balanced-ips drop; policy security-ips drop; ruleset community; service http;
alert,tcp,any,any,any,80,iBanking,['VulnerabilityIntrusion'],iBanking,ArtificialExtraction,bala,Threat,Control,,20180703,{'Obj': 'Victim'; 'Source': 'Attacker'},,,HighRisk,['RAT'],40017501,[],flow:to_server;established; urilen:21; content:"POST"; http_method; content:"/android/sms/ping.php"; fast_pattern:only; http_uri; content:"User-Agent|3A 20|Apache-HttpClient|2F|"; http_header; ),classtype:RAT;,id:40017501;,rev:1;,metadata:impact_flag red; policy balanced-ips drop; policy security-ips drop; ruleset community; service http;
alert,tcp,any,any,any,80,iBanking,['VulnerabilityIntrusion'],iBanking,ArtificialExtraction,bala,Threat,Control,,20180703,{'Obj': 'Victim'; 'Source': 'Attacker'},,,HighRisk,['RAT'],40017503,[],flow:to_server;established; urilen:22; content:"/android/sms/index.php"; fast_pattern:only; http_uri; content:"User-Agent|3A 20|Apache-HttpClient|2F|"; http_header; content:"bot_id="; http_client_body; content:"&number=&iccid=&model="; distance:0; http_client_body; content:"&imei="; distance:0; http_client_body; content:"&os="; distance:0; http_client_body; content:"&control_number="; distance:0; http_client_body; ),classtype:RAT;,id:40017503;,rev:1;,metadata:impact_flag red; policy balanced-ips drop; policy security-ips drop; ruleset community; service http;
alert,tcp,any,any,any,80,Gamut,['VulnerabilityIntrusion'],Gamut,ArtificialExtraction,bala,Threat,Control,,20180703,{'Obj': 'Victim'; 'Source': 'Attacker'},,,HighRisk,['RAT'],40017505,[],flow:to_server;established; content:"|26|file=SenderClient.conf"; fast_pattern:only; http_uri; ),classtype:RAT;,id:40017505;,rev:1;,metadata:impact_flag red; policy balanced-ips drop; policy security-ips drop; ruleset community; service http;
alert,tcp,any,any,any,80,Necurs,['VulnerabilityIntrusion'],Necurs,ArtificialExtraction,bala,Threat,Control,,20180703,{'Obj': 'Victim'; 'Source': 'Attacker'},,,HighRisk,['RAT'],40017507,[],flow:to_server;established; urilen:13; content:"/forum/db.php HTTP/1.1|0D 0A|Content-Type: application/octet-stream|0D 0A|Host: "; fast_pattern:only; content:!"User-Agent:"; http_header; content:!"Referer:"; http_header; content:!"Accept"; http_header; ),classtype:RAT;,id:40017507;,rev:1;,metadata:policy balanced-ips drop; policy security-ips drop; ruleset community; service http;
alert,tcp,any,any,any,80,Uroburos,['VulnerabilityIntrusion'],Uroburos,ArtificialExtraction,bala,Threat,Control,,20180703,{'Obj': 'Victim'; 'Source': 'Attacker'},,,HighRisk,['RAT'],40017509,[],flow:to_server;established; content:"/1/6b-558694705129b01c0"; fast_pattern:only; http_uri; content:"Connection: Keep-Alive|0D 0A|"; nocase; ),classtype:RAT;,id:40017509;,rev:1;,metadata:impact_flag red; policy balanced-ips drop; policy connectivity-ips drop; policy security-ips drop; ruleset community; service http;
alert,tcp,any,any,any,80,Androm,['VulnerabilityIntrusion'],Androm,ArtificialExtraction,bala,Threat,Control,,20180703,{'Obj': 'Victim'; 'Source': 'Attacker'},,,HighRisk,['Exploits'],130017511,[],flow:to_server;established; urilen:14; content:"/tmp/image.php"; fast_pattern:only; http_uri; content:"User-Agent: Mozilla/4.0|0D 0A|"; http_header; content:!"Accept"; http_header; pcre:"/^[a-z\d\x2b\x2f\x3d]{48;256}$/iP"; ),classtype:Exploits;,id:130017511;,rev:2;,metadata:impact_flag red; policy balanced-ips drop; policy security-ips drop; ruleset community; service http;
alert,tcp,any,any,any,80,Symmi,['VulnerabilityIntrusion'],Symmi,ArtificialExtraction,bala,Threat,Invasion,,20180703,{'Obj': 'Victim'; 'Source': 'Attacker'},,,HighRisk,['RAT'],40017513,[],flow:to_server;established; content:".xpg.com.br|0D 0A|Accept: text/html; */*|0D 0A|Accept-Encoding: identity|0D 0A|User-Agent: Mozilla/3.0 (compatible|3B| Indy Library)|0D 0A 0D 0A|"; fast_pattern:only; http_header; ),classtype:RAT;,id:40017513;,rev:2;,metadata:impact_flag red; policy balanced-ips drop; policy security-ips drop; ruleset community; service http;
alert,tcp,any,any,any,80,Graftor,['VulnerabilityIntrusion'],Graftor,ArtificialExtraction,bala,Threat,Control,,20180703,{'Obj': 'Victim'; 'Source': 'Attacker'},,,HighRisk,['Exploits'],130017515,[],flow:to_server;established; content:"|0D 0A|User-Agent: Mozilla/5.0 (Windows|3B| U|3B| Windows NT 6.1|3B| pt-BR|3B| rv:1.9.2b5) Gecko/20091204 Firefox/3.6b5|0D 0A 0D 0A|"; fast_pattern:only; content:"|0D 0A|Accept-Encoding: gzip;deflate; identity|0D 0A|"; http_header; content:" HTTP/1.1|0D 0A|Content-Type: application/x-www-form-urlencoded|0D 0A|"; ),classtype:Exploits;,id:130017515;,rev:2;,metadata:impact_flag red; policy balanced-ips drop; policy security-ips drop; ruleset community; service http;
alert,tcp,any,80,any,any,Strictor,['VulnerabilityIntrusion'],Strictor,ArtificialExtraction,bala,Threat,Control,,20180703,{'Obj': 'Attacker'; 'Source': 'Victim'},,,HighRisk,['Exploits'],130017517,[],flow:to_client;established; content:"Content-Length: 6|0D 0A|"; http_header; file_data; content:"BRASIL"; depth:6; fast_pattern; ),classtype:Exploits;,id:130017517;,rev:1;,metadata:impact_flag red; policy balanced-ips drop; policy security-ips drop; ruleset community; service http;
alert,tcp,any,80,any,any,Strictor,['VulnerabilityIntrusion'],Strictor,ArtificialExtraction,bala,Threat,Control,,20180703,{'Obj': 'Attacker'; 'Source': 'Victim'},,,HighRisk,['Exploits'],130017519,[],flow:to_client;established; content:"Content-Length: 13|0D 0A|"; http_header; file_data; content:"INTERNACIONAL"; depth:13; fast_pattern; ),classtype:Exploits;,id:130017519;,rev:1;,metadata:impact_flag red; policy balanced-ips drop; policy security-ips drop; ruleset community; service http;
alert,tcp,any,any,any,80,Unknown,['VulnerabilityIntrusion'],Exploits,ArtificialExtraction,bala,Threat,Control,,20180703,{'Obj': 'Victim'; 'Source': 'Attacker'},,,HighRisk,['Exploits'],130017521,[],flow:to_server;established; urilen:12; content:"/eh.html HTTP/1.1|0D 0A|Content-Type: text/html|0D 0A|Host: "; fast_pattern:only; content:"|0D 0A|Accept: text/html; */*|0D 0A|User-Agent: Mozilla/3.0 (compatible|3B| Indy Library)|0D 0A 0D 0A|"; http_header; ),classtype:Exploits;,id:130017521;,rev:2;,metadata:impact_flag red; policy balanced-ips drop; policy security-ips drop; ruleset community; service http;
alert,tcp,any,any,any,80,Zeus,['VulnerabilityIntrusion'],Zeus,ArtificialExtraction,bala,Threat,Control,,20180703,{'Obj': 'Victim'; 'Source': 'Attacker'},,,HighRisk,['RAT'],40017523,[],flow:to_server;established; content:"POST"; http_method; content:"/forumdisplay.php?fid="; fast_pattern:only; http_uri; content:"id="; depth:3; http_client_body; content:"&iv="; within:4; distance:36; http_client_body; content:!"Referer:"; http_header; ),classtype:RAT;,id:40017523;,rev:2;,metadata:impact_flag red; policy balanced-ips drop; policy security-ips drop; ruleset community; service http;
alert,tcp,any,any,any,80,Unknown,['VulnerabilityIntrusion'],Exploits,ArtificialExtraction,bala,Threat,Control,,20180703,{'Obj': 'Victim'; 'Source': 'Attacker'},,,HighRisk,['Exploits'],130017527,[],flow:to_server;established; content:"/gcs?alpha="; fast_pattern:only; http_uri; content:"|0D 0A|Cache-Control: no-store;no-cache|0D 0A|Pragma: no-cache|0D 0A|Connection: Keep-Alive|0D 0A 0D 0A|"; content:!"Accept"; http_header; content:!"User-Agent:"; http_header; ),classtype:Exploits;,id:130017527;,rev:7;,metadata:impact_flag red; policy balanced-ips drop; policy security-ips drop; ruleset community; service http;
alert,tcp,any,any,any,80,Unknown,['VulnerabilityIntrusion'],Exploits,ArtificialExtraction,bala,Threat,Control,,20180703,{'Obj': 'Victim'; 'Source': 'Attacker'},,,HighRisk,['Exploits'],130017529,[],flow:to_server;established; content:"/gdi?alpha="; fast_pattern:only; http_uri; content:"|0D 0A|Cache-Control: no-store;no-cache|0D 0A|Pragma: no-cache|0D 0A|Connection: Keep-Alive|0D 0A 0D 0A|"; content:!"Accept"; http_header; content:!"User-Agent:"; http_header; ),classtype:Exploits;,id:130017529;,rev:7;,metadata:impact_flag red; policy balanced-ips drop; policy security-ips drop; ruleset community; service http;
alert,tcp,any,any,any,80,Symmi,['VulnerabilityIntrusion'],Symmi,ArtificialExtraction,bala,Threat,Invasion,,20180703,{'Obj': 'Victim'; 'Source': 'Attacker'},,,HighRisk,['RAT'],40017531,[],flow:to_server;established; content:"lista"; http_uri; content:"|3B| name=|22|arquivo|22 3B| filename=|22|C:|5C|"; fast_pattern:only; http_client_body; content:".log|22 0D 0A|"; nocase; http_client_body; content:!"Accept-"; http_header; ),classtype:RAT;,id:40017531;,rev:2;,metadata:policy balanced-ips drop; policy security-ips drop; ruleset community; service http;
alert,tcp,any,1600:1604,1600:any,1600:any,Zbot,['VulnerabilityIntrusion'],Zbot,ArtificialExtraction,bala,Threat,Control,,20180704,{'Obj': 'Attacker'; 'Source': 'Victim'},,,HighRisk,['Backdoor'],190017537,[],flow:to_client;established; content:"E|00|N|00|D|00|S|00|E|00|R|00|V|00|E|00|R|00|B|00|U|00|F|00|F|00|E|00|R|00|"; fast_pattern:only; ),classtype:Backdoor;,id:190017537;,rev:2;,metadata:impact_flag red; policy balanced-ips drop; policy security-ips drop; ruleset community;
alert,tcp,any,any,any,1600:1604,Zbot,['VulnerabilityIntrusion'],Zbot,ArtificialExtraction,bala,Threat,Control,,20180704,{'Obj': 'Victim'; 'Source': 'Attacker'},,,HighRisk,['Backdoor'],190017539,[],flow:to_server;established; content:"GET /123456789.functionss"; fast_pattern:only; ),classtype:Backdoor;,id:190017539;,rev:2;,metadata:impact_flag red; policy balanced-ips drop; policy security-ips drop; ruleset community;
alert,tcp,any,any,any,1600:1604,Zbot,['VulnerabilityIntrusion'],Zbot,ArtificialExtraction,bala,Threat,Control,,20180704,{'Obj': 'Victim'; 'Source': 'Attacker'},,,HighRisk,['Backdoor'],190017541,[],flow:to_server;established; dsize:<20; content:"myversion|7C|"; fast_pattern:only; pcre:"/myversion\x7c(\d\x2e){3}\d\x0d\x0a/"; ),classtype:Backdoor;,id:190017541;,rev:2;,metadata:impact_flag red; policy balanced-ips drop; policy security-ips drop; ruleset community;
alert,tcp,any,any,any,[21;25;443;465;636;992;993;995;2484],Unknown,['VulnerabilityIntrusion'],CVE-2014-0160,ArtificialExtraction,bala,Threat,Control,,20180704,{'Obj': 'Victim'; 'Source': 'Attacker'},,CVE-2014-0160,HighRisk,['Exploits'],130017543,[],flow:to_server;established;only_stream; content:"|18 03 00|"; depth:3; detection_filter:track by_src; count 3; seconds 1; ),classtype:Exploits;,id:130017543;,rev:7;,metadata:policy balanced-ips drop; policy security-ips drop; ruleset community; service ssl;
alert,tcp,any,any,any,[21;25;443;465;636;992;993;995;2484],Unknown,['VulnerabilityIntrusion'],CVE-2014-0160,ArtificialExtraction,bala,Threat,Control,,20180704,{'Obj': 'Victim'; 'Source': 'Attacker'},,CVE-2014-0160,HighRisk,['Exploits'],130017545,[],flow:to_server;established;only_stream; content:"|18 03 01|"; depth:3; detection_filter:track by_src; count 3; seconds 1; ),classtype:Exploits;,id:130017545;,rev:7;,metadata:policy balanced-ips drop; policy security-ips drop; ruleset community; service ssl;
alert,tcp,any,any,any,[21;25;443;465;636;992;993;995;2484],Unknown,['VulnerabilityIntrusion'],CVE-2014-0160,ArtificialExtraction,bala,Threat,Control,,20180704,{'Obj': 'Victim'; 'Source': 'Attacker'},,CVE-2014-0160,HighRisk,['Exploits'],130017547,[],flow:to_server;established;only_stream; content:"|18 03 02|"; depth:3; detection_filter:track by_src; count 3; seconds 1; ),classtype:Exploits;,id:130017547;,rev:7;,metadata:policy balanced-ips drop; policy security-ips drop; ruleset community; service ssl;
alert,tcp,any,any,any,[21;25;443;465;636;992;993;995;2484],Unknown,['VulnerabilityIntrusion'],CVE-2014-0160,ArtificialExtraction,bala,Threat,Control,,20180704,{'Obj': 'Victim'; 'Source': 'Attacker'},,CVE-2014-0160,HighRisk,['Exploits'],130017549,[],flow:to_server;established;only_stream; content:"|18 03 03|"; depth:3; detection_filter:track by_src; count 3; seconds 1; ),classtype:Exploits;,id:130017549;,rev:7;,metadata:policy balanced-ips drop; policy security-ips drop; ruleset community; service ssl;
alert,tcp,any,[21;25;443;465;636;992;993;995;2484],None,[21;25;443;465;636;992;993;995;2484],Unknown,['VulnerabilityIntrusion'],CVE-2014-0160,ArtificialExtraction,bala,Threat,Control,,20180704,{'Obj': 'Attacker'; 'Source': 'Victim'},,CVE-2014-0160,HighRisk,['Exploits'],130017551,[],flow:to_client;established;only_stream; content:"|18 03 00|"; depth:3; byte_test:2;>;128;0;relative; ),classtype:Exploits;,id:130017551;,rev:9;,metadata:policy balanced-ips drop; policy security-ips drop; ruleset community; service ssl;
alert,tcp,any,[21;25;443;465;636;992;993;995;2484],None,[21;25;443;465;636;992;993;995;2484],Unknown,['VulnerabilityIntrusion'],CVE-2014-0160,ArtificialExtraction,bala,Threat,Control,,20180704,{'Obj': 'Attacker'; 'Source': 'Victim'},,CVE-2014-0160,HighRisk,['Exploits'],130017553,[],flow:to_client;established;only_stream; content:"|18 03 01|"; depth:3; byte_test:2;>;128;0;relative; ),classtype:Exploits;,id:130017553;,rev:9;,metadata:policy balanced-ips drop; policy security-ips drop; ruleset community; service ssl;
alert,tcp,any,[21;25;443;465;636;992;993;995;2484],None,[21;25;443;465;636;992;993;995;2484],Unknown,['VulnerabilityIntrusion'],CVE-2014-0160,ArtificialExtraction,bala,Threat,Control,,20180704,{'Obj': 'Attacker'; 'Source': 'Victim'},,CVE-2014-0160,HighRisk,['Exploits'],130017555,[],flow:to_client;established;only_stream; content:"|18 03 02|"; depth:3; byte_test:2;>;128;0;relative; ),classtype:Exploits;,id:130017555;,rev:9;,metadata:policy balanced-ips drop; policy security-ips drop; ruleset community; service ssl;
alert,tcp,any,[21;25;443;465;636;992;993;995;2484],None,[21;25;443;465;636;992;993;995;2484],Unknown,['VulnerabilityIntrusion'],CVE-2014-0160,ArtificialExtraction,bala,Threat,Control,,20180704,{'Obj': 'Attacker'; 'Source': 'Victim'},,CVE-2014-0160,HighRisk,['Exploits'],130017557,[],flow:to_client;established;only_stream; content:"|18 03 03|"; depth:3; byte_test:2;>;128;0;relative; ),classtype:Exploits;,id:130017557;,rev:9;,metadata:policy balanced-ips drop; policy security-ips drop; ruleset community; service ssl;
alert,tcp,any,any,any,[21;25;443;465;636;992;993;995;2484],Unknown,['VulnerabilityIntrusion'],CVE-2014-0160,ArtificialExtraction,bala,Threat,Control,,20180704,{'Obj': 'Victim'; 'Source': 'Attacker'},,CVE-2014-0160,HighRisk,['Exploits'],130017559,[],flow:to_server;established;only_stream; content:"|18 03 00|"; depth:3; byte_test:2;>;128;3; detection_filter:track by_dst; count 2; seconds 5; ),classtype:Exploits;,id:130017559;,rev:8;,metadata:policy balanced-ips drop; policy security-ips drop; ruleset community; service ssl;
alert,tcp,any,any,any,[21;25;443;465;636;992;993;995;2484],Unknown,['VulnerabilityIntrusion'],CVE-2014-0160,ArtificialExtraction,bala,Threat,Control,,20180704,{'Obj': 'Victim'; 'Source': 'Attacker'},,CVE-2014-0160,HighRisk,['Exploits'],130017561,[],flow:to_server;established;only_stream; content:"|18 03 01|"; depth:3; byte_test:2;>;128;3; detection_filter:track by_dst; count 2; seconds 5; ),classtype:Exploits;,id:130017561;,rev:8;,metadata:policy balanced-ips drop; policy security-ips drop; ruleset community; service ssl;
alert,tcp,any,any,any,[21;25;443;465;636;992;993;995;2484],Unknown,['VulnerabilityIntrusion'],CVE-2014-0160,ArtificialExtraction,bala,Threat,Control,,20180704,{'Obj': 'Victim'; 'Source': 'Attacker'},,CVE-2014-0160,HighRisk,['Exploits'],130017563,[],flow:to_server;established;only_stream; content:"|18 03 02|"; depth:3; byte_test:2;>;128;3; detection_filter:track by_dst; count 2; seconds 5; ),classtype:Exploits;,id:130017563;,rev:8;,metadata:policy balanced-ips drop; policy security-ips drop; ruleset community; service ssl;
alert,tcp,any,any,any,[21;25;443;465;636;992;993;995;2484],Unknown,['VulnerabilityIntrusion'],CVE-2014-0160,ArtificialExtraction,bala,Threat,Control,,20180704,{'Obj': 'Victim'; 'Source': 'Attacker'},,CVE-2014-0160,HighRisk,['Exploits'],130017565,[],flow:to_server;established;only_stream; content:"|18 03 03|"; depth:3; byte_test:2;>;128;3; detection_filter:track by_dst; count 2; seconds 5; ),classtype:Exploits;,id:130017565;,rev:8;,metadata:policy balanced-ips drop; policy security-ips drop; ruleset community; service ssl;
alert,tcp,any,any,any,[21;25;443;465;636;992;993;995;2484],Unknown,['VulnerabilityIntrusion'],CVE-2014-0160,ArtificialExtraction,bala,Threat,Control,,20180704,{'Obj': 'Victim'; 'Source': 'Attacker'},,CVE-2014-0160,HighRisk,['Exploits'],130017567,[],flow:to_server;established; dsize:8; content:"|18 03 02 00 03 01 40 00|"; depth:8; ),classtype:Exploits;,id:130017567;,rev:2;,metadata:policy balanced-ips drop; policy security-ips drop; ruleset community; service ssl;
alert,tcp,any,any,any,[21;25;443;465;636;992;993;995;2484],Unknown,['VulnerabilityIntrusion'],CVE-2014-0160,ArtificialExtraction,bala,Threat,Control,,20180704,{'Obj': 'Victim'; 'Source': 'Attacker'},,CVE-2014-0160,HighRisk,['Exploits'],130017569,[],flow:to_server;established; dsize:69; content:"|18 03 03 00 40|"; depth:5; ),classtype:Exploits;,id:130017569;,rev:2;,metadata:policy balanced-ips drop; policy security-ips drop; ruleset community; service ssl;
alert,tcp,any,any,any,80,Zeus,['VulnerabilityIntrusion'],Zeus,ArtificialExtraction,bala,Threat,Control,,20180704,{'Obj': 'Victim'; 'Source': 'Attacker'},,,HighRisk,['RAT'],40017573,[],flow:to_server;established; urilen:6; content:"POST"; http_method; content:"/write"; http_uri; content:"Host: default|0D 0A|"; fast_pattern:only; http_header; ),classtype:RAT;,id:40017573;,rev:2;,metadata:impact_flag red; policy balanced-ips drop; policy security-ips drop; ruleset community; service http;
alert,tcp,any,any,any,443,Unknown,['VulnerabilityIntrusion'],Exploits,ArtificialExtraction,bala,Threat,Control,,20180705,{'Obj': 'Victim'; 'Source': 'Attacker'},,,HighRisk,['Exploits'],130017575,[],flow:to_server;established; content:"[masscan/1.0]"; ),classtype:Exploits;,id:130017575;,rev:1;,metadata:policy balanced-ips drop; policy connectivity-ips drop; policy security-ips drop; ruleset community; service ssl;
alert,tcp,any,any,any,80,Unknown,['VulnerabilityIntrusion'],Exploits,ArtificialExtraction,bala,Threat,Control,,20180705,{'Obj': 'Victim'; 'Source': 'Attacker'},,,HighRisk,['Exploits'],130017581,[],flow:to_server;established; content:"/cache/pdf_efax_"; fast_pattern:only; http_uri; pcre:"/\/cache\/pdf\x5Fefax\x5F\d{8;15}\.zip$/Ui"; ),classtype:Exploits;,id:130017581;,rev:1;,metadata:impact_flag red; policy balanced-ips drop; policy security-ips drop; ruleset community; service http;
alert,tcp,any,80,any,any,Unknown,['VulnerabilityIntrusion'],Exploits,ArtificialExtraction,bala,Threat,Control,,20180705,{'Obj': 'Attacker'; 'Source': 'Victim'},,,HighRisk,['Exploits'],130017583,[],flow:to_client;established; content:"filename=FuneralCeremony_"; fast_pattern:only; http_header; content:".zip"; nocase; http_header; file_data; content:"FuneralCeremony_"; content:".exe"; distance:0; nocase; ),classtype:Exploits;,id:130017583;,rev:1;,metadata:policy balanced-ips drop; policy security-ips drop; ruleset community; service http;
alert,tcp,any,[21;25;443;465;636;992;993;995;2484],None,[21;25;443;465;636;992;993;995;2484],Unknown,['VulnerabilityIntrusion'],CVE-2014-0160,ArtificialExtraction,bala,Threat,Control,,20180705,{'Obj': 'Attacker'; 'Source': 'Victim'},,CVE-2014-0160,HighRisk,['Exploits'],130017587,[],flow:to_client;established; content:"|16 03 00|"; byte_jump:2;0;relative; content:"|18 03 00|"; within:3; fast_pattern; byte_test:2;>;128;0;relative; ),classtype:Exploits;,id:130017587;,rev:3;,metadata:policy balanced-ips drop; policy security-ips drop; ruleset community; service ssl;
alert,tcp,any,[21;25;443;465;636;992;993;995;2484],None,[21;25;443;465;636;992;993;995;2484],Unknown,['VulnerabilityIntrusion'],CVE-2014-0160,ArtificialExtraction,bala,Threat,Control,,20180705,{'Obj': 'Attacker'; 'Source': 'Victim'},,CVE-2014-0160,HighRisk,['Exploits'],130017591,[],flow:to_client;established; content:"|16 03 01|"; byte_jump:2;0;relative; content:"|18 03 01|"; within:3; fast_pattern; byte_test:2;>;128;0;relative; ),classtype:Exploits;,id:130017591;,rev:3;,metadata:policy balanced-ips drop; policy security-ips drop; ruleset community; service ssl;
alert,tcp,any,[21;25;443;465;636;992;993;995;2484],None,[21;25;443;465;636;992;993;995;2484],Unknown,['VulnerabilityIntrusion'],CVE-2014-0160,ArtificialExtraction,bala,Threat,Control,,20180705,{'Obj': 'Attacker'; 'Source': 'Victim'},,CVE-2014-0160,HighRisk,['Exploits'],130017593,[],flow:to_client;established; content:"|17 03 01|"; byte_jump:2;0;relative; content:"|18 03 01|"; within:3; fast_pattern; byte_test:2;>;128;0;relative; ),classtype:Exploits;,id:130017593;,rev:3;,metadata:policy balanced-ips drop; policy security-ips drop; ruleset community; service ssl;
alert,tcp,any,[21;25;443;465;636;992;993;995;2484],None,[21;25;443;465;636;992;993;995;2484],Unknown,['VulnerabilityIntrusion'],CVE-2014-0160,ArtificialExtraction,bala,Threat,Control,,20180705,{'Obj': 'Attacker'; 'Source': 'Victim'},,CVE-2014-0160,HighRisk,['Exploits'],130017595,[],flow:to_client;established; content:"|16 03 02|"; byte_jump:2;0;relative; content:"|18 03 02|"; within:3; fast_pattern; byte_test:2;>;128;0;relative; ),classtype:Exploits;,id:130017595;,rev:3;,metadata:policy balanced-ips drop; policy security-ips drop; ruleset community; service ssl;
alert,tcp,any,[21;25;443;465;636;992;993;995;2484],None,[21;25;443;465;636;992;993;995;2484],Unknown,['VulnerabilityIntrusion'],CVE-2014-0160,ArtificialExtraction,bala,Threat,Control,,20180705,{'Obj': 'Attacker'; 'Source': 'Victim'},,CVE-2014-0160,HighRisk,['Exploits'],130017597,[],flow:to_client;established; content:"|17 03 02|"; byte_jump:2;0;relative; content:"|18 03 02|"; within:3; fast_pattern; byte_test:2;>;128;0;relative; ),classtype:Exploits;,id:130017597;,rev:3;,metadata:policy balanced-ips drop; policy security-ips drop; ruleset community; service ssl;
alert,tcp,any,[21;25;443;465;636;992;993;995;2484],None,[21;25;443;465;636;992;993;995;2484],Unknown,['VulnerabilityIntrusion'],CVE-2014-0160,ArtificialExtraction,bala,Threat,Control,,20180705,{'Obj': 'Attacker'; 'Source': 'Victim'},,CVE-2014-0160,HighRisk,['Exploits'],130017599,[],flow:to_client;established; content:"|16 03 03|"; byte_jump:2;0;relative; content:"|18 03 03|"; within:3; fast_pattern; byte_test:2;>;128;0;relative; ),classtype:Exploits;,id:130017599;,rev:3;,metadata:policy balanced-ips drop; policy security-ips drop; ruleset community; service ssl;
